#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
Define principal axes and principal refractive indices.	For a lossless non-active anisotropic medium, \(\boldsymbol{\varepsilon}\) is real symmetric and can be diagonalised in a frame \(\{\hat{e}_1,\hat{e}_2,\hat{e}_3\}\) — the principal axes:<br><br>\( \boldsymbol{\varepsilon} = \mathrm{diag}(n_1^2, n_2^2, n_3^2) \)<br><br>\(n_1, n_2, n_3\) are the principal refractive indices.	eo h1_anisotropic
Distinguish biaxial, uniaxial, and isotropic crystals.	Biaxial: \(n_1 \neq n_2 \neq n_3\) (e.g. orthorhombic).<br>Uniaxial: two indices equal (e.g. tetragonal calcite, conventionally \(n_1=n_2=n_o\), \(n_3=n_e\)).<br>Isotropic: all three equal (e.g. cubic).	eo h1_anisotropic
Define ordinary and extraordinary refractive indices for a uniaxial crystal.	\(n_o\): refractive index for D perpendicular to the optic axis (\(\hat{e}_3\)).<br>\(n_e\): refractive index for D along the optic axis.<br><br>Birefringence: \(\Delta n = n_e - n_o\). For calcite \(\Delta n = -0.172\) (negative birefringence).	eo h1_anisotropic
When is D parallel to E in an anisotropic medium?	(a) When E lies along a principal axis of the medium.<br>(b) When E is perpendicular to the optic axis of a uniaxial medium (i.e. lies in the \(\hat{e}_1\)-\(\hat{e}_2\) plane where \(\varepsilon_1=\varepsilon_2\)).	eo h1_anisotropic
Why may N not be parallel to k in an anisotropic medium?	In general \(\mathbf{E}\not\parallel\mathbf{D}\), so although D⊥k and H⊥k, \(\mathbf{N}=\mathbf{E}\times\mathbf{H}\) is not parallel to k. The phase propagates along k but the energy propagates along N — they can differ in direction. This is the origin of double refraction.	eo h1_anisotropic
What is the optical indicatrix?	An ellipsoid defined by \( D_x^2/\varepsilon_1 + D_y^2/\varepsilon_2 + D_z^2/\varepsilon_3 = 1 \). The length of its radius vector along a given direction equals the refractive index for a wave with D in that direction.<br><br>So polarization direction (not propagation direction) determines wave velocity.	eo h1_anisotropic
State the formula for the extraordinary refractive index in a uniaxial crystal.	For a wave with k at angle \(\theta\) to the optic axis \(\hat{e}_3\):<br><br>\( \dfrac{(n_b\sin\theta)^2}{n_e^2} + \dfrac{(n_b\cos\theta)^2}{n_o^2} = 1 \)<br><br>where \(n_b\) is the effective refractive index for the extraordinary wavelet.	eo h1_anisotropic
Describe double refraction in calcite.	Light at normal incidence on a calcite crystal (with optic axis at angle to surface normal) splits into two rays: an ordinary ray (D⊥optic axis, spherical wavelets, refracts normally) and an extraordinary ray (D in plane containing optic axis, ellipsoidal wavelets, laterally shifted because N is not along k). Two images of objects viewed through the crystal.	eo h1_anisotropic
State the Jones matrix for a waveplate with fast axis along Ox.	\( \underline{\underline{J}}_{\mathrm{plate}} = \begin{pmatrix} e^{-i\Delta\phi/2} & 0 \\ 0 & e^{i\Delta\phi/2} \end{pmatrix} \)<br><br>where \(\Delta\phi = \omega(n_s-n_f)d/c\) is the phase retardation between slow and fast axes.	eo h1_waveplates
State the Jones matrix for a quarter-wave plate (fast axis along Ox).	\( \underline{\underline{J}}_{\lambda/4,x} = \begin{pmatrix}1 & 0\\0 & i\end{pmatrix} \)<br><br>(after dropping a global phase). Has \(\Delta\phi = \pi/2\), introducing a quarter-wavelength path difference.	eo h1_waveplates
State the Jones matrix for a half-wave plate (fast axis along Ox).	\( \underline{\underline{J}}_{\lambda/2,x} = \begin{pmatrix}1 & 0\\0 & -1\end{pmatrix} \)<br><br>Has \(\Delta\phi = \pi\). Reflects polarization about the fast axis.	eo h1_waveplates
What does a quarter-wave plate do to linearly polarized light at 45° to the fast axis?	Produces circularly polarized light. The two equal components emerge with a \(\pi/2\) phase difference, and their superposition traces a circle.	eo h1_waveplates
What does a half-wave plate do to plane-polarized light?	Rotates the plane of polarization. If the incident E is at angle \(\theta\) to the fast axis, the emerging E is at \(-\theta\). For \(\theta=45°\), the polarization is rotated by 90°.	eo h1_waveplates
What is photoelasticity?	Stress-induced birefringence: an isotropic transparent material becomes birefringent when subjected to mechanical stress, because the molecular distortion changes the dielectric tensor. Used to visualise stress patterns by viewing between crossed polarisers.	eo h1_inducedbi
Distinguish the Kerr and Pockels effects.	Kerr effect: in liquids/gases, applied E-field induces uniaxial birefringence with \(\Delta n = \lambda_0 K E_0^2\) (quadratic in E because optical properties cannot depend on the field's sign in an isotropic medium).<br><br>Pockels effect: in crystals lacking inversion symmetry, the induced birefringence can be linear in E.<br><br>Both used to make voltage-controlled waveplates / fast optical modulators (ns switching).	eo h1_inducedbi
What is a chiral material?	A material whose molecular structure cannot be superposed on its mirror image (i.e. has handedness). Examples: amino acids, sugars, quartz. Optical chirality is built in even in liquid form.	eo h1_optical_activity
What does an optically active material do to LCP and RCP light?	It has different refractive indices \(n_L \neq n_R\) for the two circular polarizations. These are the natural characteristic waves of a chiral medium (analogous to how linear polarizations are characteristic of a birefringent medium).	eo h1_optical_activity
Show that an optically active medium rotates the plane of plane-polarized light.	Decompose \(\underline{L}_x = (\underline{C}_R + \underline{C}_L)/\sqrt{2}\). After traversing thickness d, each component picks up a phase \(e^{i\omega n_{R,L}d/c}\). Recombining gives plane-polarized light rotated by \(\Delta\phi/2 = \pi(n_L - n_R)d/\lambda\).	eo h1_optical_activity
Define the specific rotatory power.	\( \alpha = \dfrac{\pi(n_L - n_R)}{\lambda} = \dfrac{1}{2}(k_L - k_R) = \dfrac{\omega}{2c}(n_L - n_R) \)<br><br>Rotation per unit length. \(\alpha > 0\): dextrorotatory (clockwise from observer's view). \(\alpha < 0\): levorotatory.	eo h1_optical_activity
What is the Faraday effect?	Magnetically induced optical activity: an applied \(\mathbf{B}_0\) field along the propagation direction makes an isotropic medium chiral, rotating the plane of polarization. Different from natural chirality because \(\mathbf{B}_0\) is directional and reversing the propagation direction reverses the rotation.	eo h1_optical_activity
Set up the equation of motion for an electron in a plasma in the Faraday geometry.	With \(\mathbf{B}_0\parallel\hat{z}\) and EM wave \(\mathbf{E}\propto e^{-i\omega t}\):<br><br>\( m\ddot{\mathbf{r}} = -e(\mathbf{E} + \dot{\mathbf{r}}\times\mathbf{B}_0) \)<br><br>The B-field of the wave is neglected. Coupled equations for \(x_0\) and \(y_0\) introduce the cyclotron frequency \(\omega_c = eB_0/m\).	eo h1_optical_activity
State the dielectric responses for LCP and RCP waves in a magnetised plasma.	\( \varepsilon_{L/R}(\omega) = 1 - \dfrac{\omega_p^2}{\omega(\omega \mp \omega_c)} \)<br><br>where \(\omega_p\) is the plasma frequency and \(\omega_c = eB_0/m\) is the cyclotron frequency. The minus sign is for LCP, plus for RCP.	eo h1_optical_activity
Define the Verdet coefficient.	\( \theta = V B_0 d \)<br><br>where \(\theta\) is the Faraday rotation angle, \(B_0\) the applied magnetic field, and \(d\) the path length in the medium. Verdet coefficients vary strongly with wavelength: ~\(10^{-3}\) rad/(T·m) for gases, ~3 for water, 25–250 for dense glasses.	eo h1_optical_activity
State the Faraday rotation angle in a plasma in the small-field limit.	\( \theta \approx -\dfrac{\omega_p^2 \omega_c d}{2c\omega^2 \sqrt{1-\omega_p^2/\omega^2}} \)<br><br>Linear in \(B_0\) (through \(\omega_c\)), so this defines a Verdet coefficient.	eo h1_optical_activity
Why is the dielectric tensor of a magnetised plasma Hermitian but not real symmetric?	Off-diagonal terms \(\varepsilon_{xy} = i\omega_c\omega_p^2 / [\omega(\omega^2-\omega_c^2)]\) are purely imaginary, making the tensor Hermitian (\(\varepsilon_{ij} = \varepsilon_{ji}^*\)) but not real symmetric. This imaginary off-diagonal structure is the signature of magnetically-induced chirality.	eo h1_optical_activity
Why don't perpendicularly polarized waves interfere?	The Poynting flux from two superposed perpendicularly plane-polarized waves equals the sum of their individual fluxes — there is no cross term. Their E vectors lie along different axes so the time-averaged interference cross-term vanishes.	eo h1_partial_pol
Define the degree of polarization V.	\( V = \dfrac{I_{\mathrm{pol}}}{I_{\mathrm{pol}} + I_{\mathrm{unpol}}} \)<br><br>For a beam containing both polarized and unpolarized light. \(V=1\) for fully polarized; \(V=0\) for unpolarized.	eo h1_partial_pol
State the three Fresnel-Arago laws.	(i) Two beams with parallel polarisation planes interfere if coherent.<br>(ii) Two beams with perpendicular polarisation planes do not interfere even if coherent.<br>(iii) Two beams with parallel polarisations cannot interfere if derived from perpendicularly polarised components of unpolarised light (because those are mutually incoherent).	eo h1_partial_pol
Why do real light sources have finite coherence?	Pure monochromatic waves require infinite extent in time and space (Fourier theory). Real sources (even lasers) emit only quasi-monochromatic light, with phase registration lost over a coherence time \(\tau_c\) (or coherence length \(l_c = c\tau_c\)).	eo h1_coherence
State the relationship between the FT of a function and its power spectrum.	\( P(\omega)\,d\omega \sim |F(\omega)|^2\,d\omega \)<br><br>where \(F(\omega)\) is the Fourier transform of the time-dependent waveform. Power per unit frequency.	eo h1_coherence
State the FT convention used in the coherence section.	\( f(t) = \dfrac{1}{2\pi}\int_{-\infty}^\infty F(\omega)e^{i\omega t}\,d\omega \)<br><br>\( F(\omega) = \int_{-\infty}^\infty f(t)e^{-i\omega t}\,dt \)	eo h1_coherence
Describe lifetime broadening and give the resulting lineshape.	An isolated atom emitting unstimulated radiation acts as a damped harmonic oscillator with decay time \(\tau_s\). Its spectrum is Lorentzian:<br><br>\( P(\omega) \propto \dfrac{1}{(\omega-\omega_0)^2 + \omega_s^2} \)<br><br>FWHM \(= 2\omega_s = 2/\tau_s\).	eo h1_coherence
Describe Doppler (thermal) broadening.	Atoms moving with thermal velocity \(v_x\) along the line of sight produce a Doppler shift \(\omega - \omega_0 = \omega_0 v_x/c\). The Maxwell-Boltzmann velocity distribution gives a Gaussian lineshape:<br><br>\( P(\omega) = C\exp\!\left[-\dfrac{(\omega-\omega_0)^2}{2\sigma^2}\right] \)<br><br>FWHM = \(2.36\,\omega_0\sqrt{k_B T/(mc^2)}\). Depends on temperature.	eo h1_coherence
Describe pressure broadening.	Collisions between atoms randomise the phase of the emitted wave. Mean time between collisions \(\tau_1 \propto 1/p\) (at fixed T). Produces a Lorentzian lineshape with width \(\sim 1/\tau_1\). Lamps run at low pressure for sharp lines.	eo h1_coherence
Define the mutual coherence function.	\( \Gamma(\mathbf{r}_1, \mathbf{r}_2, \tau) = \langle f_1(\mathbf{r}_1, t) f_2^*(\mathbf{r}_2, t-\tau)\rangle \)<br><br>The time-averaged correlation between the wavefield at two points and at time delay \(\tau\). The complex degree of mutual coherence is \(\gamma = \Gamma/\sqrt{I_1 I_2}\), with \(|\gamma|\le 1\).	eo h1_coherence
Relate the measured intensity in an interferometer to the coherence function.	\( I(\tau) = 2I_0 + 2\,\mathrm{Re}[\Gamma(\tau)] = 2I_0 + 2|\Gamma(\tau)|\cos\Delta(\tau) \)<br><br>where \(\tau = 2d/c\) is the time delay introduced. For quasi-monochromatic light, the cosine oscillates rapidly and the envelope \(|\Gamma|\) decreases with \(\tau\).	eo h1_coherence
Define fringe visibility.	\( V = \dfrac{I_{\max} - I_{\min}}{I_{\max} + I_{\min}} = \dfrac{|\Gamma(\tau)|}{I_0} = |\gamma(\tau)| \)<br><br>Equals the modulus of the normalised coherence function. \(V=1\) for fully coherent, \(V=0\) for incoherent.	eo h1_coherence
State the Wiener-Khinchine theorem.	The Fourier transform of the autocorrelation function of a function equals the squared modulus of the FT of the function:<br><br>\( \mathrm{FT}[h(\tau)] = |F(\omega)|^2 \)<br><br>Hence the power spectrum is \(P(\omega) \sim \mathrm{FT}[\gamma(\tau)]\): the coherence function and the power spectrum are Fourier conjugates.	eo h1_coherence
How does Fourier transform spectroscopy work?	A Michelson interferometer scans the path difference \(2d\) and records the interferogram \(I(\tau)\). Fourier-transforming this (after subtracting \(2I_0\)) gives the power spectrum \(P(\omega)\) by the Wiener-Khinchine theorem. Particularly powerful in the IR (FTIR), with Jacquinot and Fellgett advantages.	eo h1_coherence
Define the coherence length and relate it to spectral linewidth.	\( l_c \) = path difference \(2d\) at which fringe visibility falls to \(1/e\). For a Gaussian line of FWHM \(\delta\omega = 2.36\sigma\):<br><br>\( l_c \approx \dfrac{\lambda^2}{2\,\delta\lambda} \)<br><br>For Kr-84 (\(\delta\lambda = 2\times 10^{-4}\) nm at 560 nm): \(l_c \approx 0.78\) m.	eo h1_coherence
What are the Jacquinot and Fellgett advantages of FTIR?	Jacquinot (throughput): no input slit needed, so the étendue and detector area can be much larger than in a grating spectrometer.<br><br>Fellgett (multiplex): all wavelengths fall on the detector simultaneously throughout the scan, improving SNR for detector-noise-limited measurements (typical in IR).	eo h1_coherence
Define the complex degree of lateral (spatial) coherence.	\( \gamma(u) = \dfrac{1}{I_0}\int I(\theta)e^{-iu\theta}\,d\theta = \dfrac{\mathrm{FT}[I(\theta)]}{I_0} \)<br><br>where \(u = kd\) (slit separation times wavenumber) and \(I(\theta)\) is the angular intensity distribution of the source.	eo h1_coherence
State the van Cittert-Zernike theorem.	The complex degree of lateral coherence is the (normalized) Fourier transform of the angular intensity distribution of an incoherent source:<br><br>\( \gamma(u) = \dfrac{\mathrm{FT}[I(\theta)]}{I_0} \)<br><br>Larger source → narrower coherence width.	eo h1_coherence
Calculate the coherence width for a uniform line source of angular width α.	\( \gamma(u) = \mathrm{sinc}(u\alpha/2) \), giving first zero at \(u\alpha/2 = \pi\), so:<br><br>\( w_c = \lambda/\alpha \)<br><br>The slits must be closer than this for fringes to be visible.	eo h1_coherence
Calculate the coherence width for a uniform disc source of angular diameter α.	\( \gamma(u) = \dfrac{2 J_1(u\alpha/2)}{u\alpha/2} \), where \(J_1\) is a Bessel function. First zero at \(u\alpha/2 = 3.83\):<br><br>\( w_c = \dfrac{1.22\lambda}{\alpha} \)<br><br>Same Airy-like form as the diffraction limit.	eo h1_coherence
How did Michelson use a stellar interferometer to measure star diameters?	Light is gathered by widely separated mirrors (variable spacing D) but interfered through closely-spaced fixed slits (separation d). This gives well-spaced fringes whose visibility falls as D increases. The D at which fringes vanish gives the angular diameter \(\alpha = 1.22\lambda/D\). For Betelgeuse (\(\lambda=570\)nm, fringes vanished at \(D=3.07\)m), \(\alpha \approx 0.047\) arcsec.	eo h1_coherence
What is phase closure in interferometric imaging?	Atmospheric and instrumental perturbations corrupt the measured phase \(\beta\) of \(\gamma\) on millisecond timescales. By measuring the coherence function between three or more sample points simultaneously, the perturbations can be eliminated and the true source phase determined. Enables imaging of distant sources via aperture synthesis.	eo h1_coherence
Why introduce the magnetic vector potential A?	Because \(\nabla\cdot\mathbf{B}=0\) and \(\nabla\cdot(\nabla\times\mathbf{F})=0\) for any F, we can always write \(\mathbf{B} = \nabla\times\mathbf{A}\). For time-dependent E (where \(\mathbf{E}\) is non-conservative), a scalar potential alone is insufficient.	eo h2_vectorpot
Show that magnetic flux through any surface depends only on its boundary.	\( \Phi_S = \int\mathbf{B}\cdot d\mathbf{S} = \int(\nabla\times\mathbf{A})\cdot d\mathbf{S} = \oint_L \mathbf{A}\cdot d\mathbf{L} \)<br><br>By Stokes' theorem, the flux equals the line integral of A around the bounding loop L — depends only on properties on L.	eo h2_vectorpot
Express E in terms of both potentials.	\( \mathbf{E} = -\dot{\mathbf{A}} - \nabla\phi \)<br><br>From \(\nabla\times\mathbf{E} = -\dot{\mathbf{B}} = -\nabla\times\dot{\mathbf{A}}\), the curl of \((\mathbf{E}+\dot{\mathbf{A}})\) vanishes, so it can be written as \(-\nabla\phi\). In statics this reduces to \(\mathbf{E}=-\nabla\phi\).	eo h2_vectorpot
State the gauge transformation for A and ϕ.	\( \mathbf{A}' = \mathbf{A} + \nabla\chi \) and \( \phi' = \phi - \partial\chi/\partial t \)<br><br>for any scalar function \(\chi\). The physical fields B and E are unchanged — physical results are gauge invariant.	eo h2_vectorpot
State the Coulomb gauge condition.	\( \nabla\cdot\mathbf{A} = 0 \)<br><br>Useful in static situations; reduces \(\nabla\times\mathbf{B} = \mu_0\mathbf{J}\) to \(\nabla^2\mathbf{A} = -\mu_0\mathbf{J}\).	eo h2_vectorpot
State the Lorenz gauge condition.	\( \nabla\cdot\mathbf{A} + \dfrac{1}{c^2}\dfrac{\partial\phi}{\partial t} = 0 \)<br><br>(Note: Danish Lorenz, not Dutch Lorentz.) This is itself Lorentz invariant and decouples Maxwell's equations into two wave equations with source terms.	eo h2_vectorpot
Solve for A from a steady current distribution in vacuum.	In Coulomb gauge, \(\nabla^2\mathbf{A} = -\mu_0\mathbf{J}\) (Poisson form). Solution:<br><br>\( \mathbf{A}(\mathbf{r}) = \dfrac{\mu_0}{4\pi}\int \dfrac{\mathbf{J}(\mathbf{r}')}{|\mathbf{r}-\mathbf{r}'|}\,d^3r' \)<br><br>For a line current: \(\mathbf{J}\,d^3r' \to I\,d\mathbf{l}'\), so \(d\mathbf{A}\parallel I\,d\mathbf{l}\).	eo h2_vectorpot
State the Biot-Savart law (and how it follows from A).	\( \mathbf{B}(\mathbf{r}) = \dfrac{\mu_0}{4\pi}\int \dfrac{I\,d\mathbf{l}'\times(\mathbf{r}-\mathbf{r}')}{|\mathbf{r}-\mathbf{r}'|^3} \)<br><br>Obtained by taking \(\nabla\times\) of \(\mathbf{A}(\mathbf{r}) = (\mu_0/4\pi)\int I\,d\mathbf{l}'/|\mathbf{r}-\mathbf{r}'|\).	eo h2_vectorpot
Find A for a long straight current-carrying wire.	By symmetry \(\mathbf{A} = A_z(r)\hat{\mathbf{z}}\). From \(B_\phi = \mu_0 I/(2\pi r)\) and \(B_\phi = -\partial A_z/\partial r\):<br><br>\( A_z(r) = -\dfrac{\mu_0 I}{2\pi}\ln r + \mathrm{const} \)	eo h2_vectorpot
