#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
How do microorganisms break the constraints of the Scallop theorem?	By adopting non-reciprocal swimming strategies: rotating helical flagella (e.g. E. coli), or beating cilia/flagella with a power stroke and recovery stroke that follow different paths in configuration space.	soft_matter ch2_fluids
Define vorticity and state its evolution equation in Stokes flow.	Vorticity: ω = ∇×v.<br><br>Evolution: ∂<sub>t</sub>ω = (η/ρ)∇²ω<br><br>This is a diffusion equation with kinematic viscosity ν = η/ρ as the diffusion coefficient — momentum diffuses through the fluid.	soft_matter ch2_fluids
State the Stokes drag force on a sphere.	F = 6πηav<br><br>Where a is the sphere radius, η the fluid viscosity, and v the sphere velocity relative to the fluid. Valid in the low-Reynolds-number regime, Re = ρva/η ≪ 1.	soft_matter ch2_fluids
Why does the Stokes drag force scale as ~a (radius), not ~a² (cross-section)?	Because the drag is dominated by momentum diffusion through the fluid, not by collisions with solvent molecules. The flow field around a moving sphere decays as v(r) ~ va/r, and integrating viscous stress over the sphere surface gives F ∝ ηav. Kinetic theory would predict F ∝ a², which is incorrect.	soft_matter ch2_fluids
Solve the Couette flow profile between parallel plates.	Bottom plate at z=0 stationary, top plate at z=h moving with velocity v₀ in x-direction. The Stokes equation reduces to η∂²v<sub>x</sub>/∂z² = 0, giving a linear velocity profile:<br><br>v<sub>x</sub>(z) = v₀ z/h	soft_matter ch2_fluids
How is Couette flow used to measure viscosity?	Measure the force F<sub>x</sub> = ηv₀A/h required to maintain the top plate moving at velocity v₀, where A is the plate area and h the gap. Solving for η gives the viscosity.	soft_matter ch2_fluids
For oscillatory flow near a wall (frequency ω), what is the penetration depth δ?	δ = √(2η/(ωρ))<br><br>The flow decays exponentially away from the wall with this characteristic length. Higher frequency or higher density → smaller penetration depth.	soft_matter ch2_fluids
What is the Oseen tensor for hydrodynamic interactions?	H<sub>nm</sub> = (1/(8πη|r<sub>nm</sub>|)) [I + r̂<sub>nm</sub>r̂<sub>nm</sub>]<br><br>It gives the velocity of particle n induced by a point force at particle m (n ≠ m). The 1/r decay means hydrodynamic interactions are very long-ranged.	soft_matter ch2_fluids
Why are hydrodynamic interactions called long-ranged?	The flow field around a moving sphere decays as 1/r (much slower than typical interparticle forces). A particle moving in a fluid drags neighbouring particles even when they are far away.	soft_matter ch2_fluids
State the Poiseuille flow profile in a circular pipe of radius a.	v<sub>x</sub>(r) = (Δp/(4ηL))(a² − r²)<br><br>A parabolic profile with maximum velocity at the centre and zero at the walls (no-slip).	soft_matter ch2_fluids
What is the volumetric flow rate in Poiseuille flow through a circular pipe?	Q = πa⁴Δp/(8ηL)<br><br>Note the strong fourth-power dependence on radius — halving the radius reduces flow by a factor of 16.	soft_matter ch2_fluids
State the Hagen–Poiseuille law and define hydraulic resistance.	Δp = R<sub>hydr</sub>Q<br><br>Hydraulic resistance is the proportionality constant. For a circular pipe: R<sub>hydr</sub> = 8ηL/(πa⁴). This is mathematically identical to Ohm's law ΔV = RI.	soft_matter ch2_fluids
Define hydraulic capacitance (compliance).	C<sub>hydr</sub> = −dV/dp<br><br>The analogue of electrical capacitance. Even 'incompressible' fluids in real channels have compliance because the channels themselves deform under pressure.	soft_matter ch2_fluids
Define the strain tensor for small deformations.	ε<sub>ik</sub> = ½(∂u<sub>i</sub>/∂x<sub>k</sub> + ∂u<sub>k</sub>/∂x<sub>i</sub>)<br><br>It is the symmetric part of the displacement gradient. The displacement field is u = x' − x where x and x' are the undeformed and deformed coordinates.	soft_matter ch3_viscoelasticity
Why must the strain tensor be symmetric?	Because the antisymmetric part of the displacement gradient ∂<sub>k</sub>u<sub>i</sub> − ∂<sub>i</sub>u<sub>k</sub> represents a rigid-body rotation, which doesn't deform the body. Only the symmetric part captures genuine deformation.	soft_matter ch3_viscoelasticity
How is volume change related to the strain tensor?	ΔV/V = Tr(ε) = ε<sub>ii</sub> = ∇·u<br><br>The trace of the strain tensor gives the relative volume change. For incompressible deformations (e.g. shear), Tr(ε) = 0.	soft_matter ch3_viscoelasticity
State Hooke's law in tensor form for an isotropic material.	σ = λ Tr(ε) I + 2Gε<br><br>or in index notation: σ<sub>ij</sub> = λε<sub>kk</sub>δ<sub>ij</sub> + 2Gε<sub>ij</sub><br><br>where λ and G are the Lamé coefficients. Only two independent elastic constants describe an isotropic material.	soft_matter ch3_viscoelasticity
Define Young's modulus E and Poisson's ratio ν.	Apply uniaxial stress σ<sub>xx</sub>:<br>• Young's modulus: E = σ<sub>xx</sub>/ε<sub>xx</sub><br>• Poisson's ratio: ν = −ε<sub>yy</sub>/ε<sub>xx</sub><br><br>Poisson's ratio measures how much a material contracts laterally when stretched.	soft_matter ch3_viscoelasticity
Define the bulk modulus B.	B = −V (∂p/∂V) = E/(3(1−2ν))<br><br>Resists volume change under hydrostatic pressure. p = −B(ΔV/V).	soft_matter ch3_viscoelasticity
Define the shear modulus G and relate it to E and ν.	σ<sub>xy</sub> = 2Gε<sub>xy</sub><br><br>G = E/(2(1+ν))<br><br>For an incompressible material (ν = 1/2), G = E/3.	soft_matter ch3_viscoelasticity
Why must Poisson's ratio satisfy ν < 1/2?	Because the bulk modulus B = E/(3(1−2ν)) must be positive — a negative bulk modulus would mean the material expands when compressed, leading to runaway instability. Setting ν = 1/2 gives B → ∞ (incompressible).	soft_matter ch3_viscoelasticity
Why must the shear modulus be positive?	If G < 0, the material would deform in the opposite direction to an applied shear stress (pulling away from the force) — unstable, runaway behaviour.	soft_matter ch3_viscoelasticity
What is an auxetic material?	A material with negative Poisson's ratio (ν < 0): it expands laterally when stretched longitudinally. Most natural materials have ν > 0, but artificial structures with suitable microarchitecture (e.g. miniaturised umbrella mechanisms) can be auxetic.	soft_matter ch3_viscoelasticity
What is linear viscoelasticity?	A regime where the stress response is linearly proportional to the applied strain (or strain rate), and the shear modulus is independent of strain magnitude. The response to different perturbations is additive (Boltzmann superposition principle). Valid for sufficiently small deformations.	soft_matter ch3_viscoelasticity
Describe the three standard rheological experiments.	(1) Creep: apply constant stress σ₀, measure strain ε(t). Compliance Γ(t) = ε(t)/σ₀.<br>(2) Stress relaxation: apply constant strain ε₀, measure stress σ(t). Relaxation modulus G(t) = σ(t)/ε₀.<br>(3) Oscillatory: apply oscillating strain (or stress), measure the other; gives complex modulus G*(ω).	soft_matter ch3_viscoelasticity
State the Boltzmann superposition principle for linear viscoelasticity.	σ(t) = ∫<sup>t</sup><sub>−∞</sub> G(t−t') (dε/dt') dt'<br><br>The stress at time t is a linear superposition of contributions from all past strain increments, weighted by the relaxation modulus G(t−t').	soft_matter ch3_viscoelasticity
State the Maxwell model constitutive equation.	dε/dt = (1/G₀)(dσ/dt) + σ/η<br><br>Equivalent to a spring (modulus G₀) and dashpot (viscosity η) in series. Defines a single relaxation time τ = η/G₀.	soft_matter ch3_viscoelasticity
Derive the Maxwell relaxation modulus G(t).	In stress relaxation, dε/dt = 0, so:<br>0 = (1/G₀)(dσ/dt) + σ/η ⟹ dσ/dt = −σ/τ<br><br>Solution: σ(t) = G₀ε₀ exp(−t/τ)<br><br>So G(t) = G₀ exp(−t/τ) with τ = η/G₀.	soft_matter ch3_viscoelasticity
Describe the short-time and long-time behaviour of the Maxwell model.	Short times (t ≪ τ): G(t) ≈ G₀, behaves like an elastic solid with shear modulus G₀.<br>Long times (t ≫ τ): G(t) → 0, behaves like a Newtonian fluid (flows). Crossover time is τ = η/G₀.	soft_matter ch3_viscoelasticity
State the complex modulus G*(ω) for the Maxwell model.	G*(ω) = iωG₀η/(G₀ + iωη)<br><br>Splitting into real and imaginary parts:<br>• G'(ω) = G₀ω²τ²/(1+ω²τ²)<br>• G''(ω) = G₀ωτ/(1+ω²τ²)<br><br>where τ = η/G₀.	soft_matter ch3_viscoelasticity
What do the storage modulus G' and loss modulus G'' represent?	G' (storage): in-phase elastic response, captures energy stored elastically per cycle.<br>G'' (loss): out-of-phase viscous response, captures energy dissipated per cycle.<br><br>G* = G' + iG''	soft_matter ch3_viscoelasticity
At what frequency does G' = G'' in the Maxwell model?	When ωτ = 1 (i.e. ω = 1/τ = G₀/η).<br><br>At this crossover, G' = G'' = G₀/2. Below this, G'' dominates (liquid-like); above this, G' dominates (solid-like).	soft_matter ch3_viscoelasticity
What is the Kelvin–Voigt model?	A spring (G₀) and dashpot (η) in parallel. Strain is the same in both: ε = ε<sub>spring</sub> = ε<sub>dashpot</sub>. Total stress σ = G₀ε + η(dε/dt). Exhibits viscoelastic creep ε(t) = (σ₀/G₀)(1 − e<sup>−t/τ</sup>) but no stress relaxation.	soft_matter ch3_viscoelasticity
What is the Zener (standard linear solid) model?	A Maxwell element (spring G₂ in series with dashpot η) connected in parallel with a second spring G₁. Exhibits both stress relaxation (incompletely — to a finite value G₁ε₀) and creep. Has two characteristic time scales.	soft_matter ch3_viscoelasticity
State the Langevin equation.	m(dv/dt) = −γv + ξ(t)<br><br>where γ is the friction coefficient (= 6πηa for a sphere) and ξ(t) is a stochastic random force describing molecular collisions with the solvent.	soft_matter ch3_viscoelasticity
What are the statistical properties of the white-noise random force ξ(t)?	⟨ξ(t)⟩ = 0 (no preferred direction)<br><br>⟨ξ(t)·ξ(t')⟩ = 6γk<sub>B</sub>T δ(t−t')<br><br>The amplitude is fixed by the fluctuation-dissipation theorem.	soft_matter ch3_viscoelasticity
State the fluctuation-dissipation theorem (for the Langevin equation).	⟨ξ(t)·ξ(t')⟩ = 6γk<sub>B</sub>T δ(t−t')<br><br>The amplitude of thermal fluctuations of the random force is determined by the dissipative friction γ and the temperature. It links spontaneous fluctuations to dissipation.	soft_matter ch3_viscoelasticity
What is the long-time mean-square displacement of a Brownian particle?	⟨x²(t)⟩ = 6Dt<br><br>(in 3D; ⟨x²⟩ = 2Dt in 1D) — characteristic linear-in-time growth of diffusive motion.	soft_matter ch3_viscoelasticity
State the Einstein relation for the diffusion coefficient.	D = k<sub>B</sub>T/γ<br><br>This relates diffusion (a fluctuation property) to friction (a dissipation property) — another form of the fluctuation-dissipation theorem.	soft_matter ch3_viscoelasticity
State the Stokes–Einstein relation.	D = k<sub>B</sub>T/(6πηa)<br><br>For a spherical particle of radius a in a fluid of viscosity η. Combines the Einstein relation with Stokes drag γ = 6πηa.	soft_matter ch3_viscoelasticity
What is the diffusion equation for the concentration of Brownian particles?	∂c/∂t = D∇²c<br><br>Equivalent to the partial differential equation governing the probability density of a random walker in the continuum limit.	soft_matter ch3_viscoelasticity
State Fick's law for diffusive flux.	J = −D∇c<br><br>Particle flux is proportional to (and opposite in direction to) the concentration gradient. Combined with the continuity equation ∂<sub>t</sub>c = −∇·J, this gives the diffusion equation.	soft_matter ch3_viscoelasticity
State the Smoluchowski rate constant for diffusion-controlled reactions.	k = 4πDa<br><br>This is the maximum possible rate constant for a reaction in solution — assumes every encounter between reactants leads to a reaction. Valid when a is the contact radius.	soft_matter ch3_viscoelasticity
What is the velocity relaxation time τ<sub>v</sub>?	τ<sub>v</sub> = m/γ<br><br>The timescale on which a Brownian particle 'forgets' its initial velocity due to friction. Of order 10⁻¹⁰–10⁻⁸ s for colloidal particles in water.	soft_matter ch3_viscoelasticity
What is the overdamped (Smoluchowski) limit of the Langevin equation?	γv = ξ(t)<br><br>(or equivalently γ(dx/dt) = ξ(t) + F<sub>ext</sub>)<br><br>Valid on timescales t ≫ m/γ, when inertia is negligible. Used for most colloidal/Brownian dynamics.	soft_matter ch3_viscoelasticity
For confined Brownian motion in a harmonic potential V = ½kx², what is ⟨x²⟩ at long times?	⟨x²⟩ = 3k<sub>B</sub>T/k<br><br>(in 3D) — given by equipartition theorem with each direction contributing k<sub>B</sub>T/2 of potential energy. In 1D, ⟨x²⟩ = k<sub>B</sub>T/k.	soft_matter ch3_viscoelasticity
What is the characteristic time τ<sub>x</sub> for a Brownian particle to relax to its equilibrium distribution in a harmonic trap?	τ<sub>x</sub> = γ/k<br><br>where k is the spring constant of the trap and γ the friction coefficient. The position correlation function decays as exp(−t/τ<sub>x</sub>).	soft_matter ch3_viscoelasticity
State the Smoluchowski equation (Fokker–Planck for overdamped motion).	∂c/∂t = ∇·[D∇c + (1/γ)∇U(x) c]<br><br>Describes the time evolution of the probability distribution of an overdamped Brownian particle in an external potential U(x).	soft_matter ch3_viscoelasticity
State the Kramers (Arrhenius) escape rate from a metastable well.	r = D √(κ<sub>A</sub>κ<sup>‡</sup>)/(2πk<sub>B</sub>T) × exp(−U<sup>‡</sup>/k<sub>B</sub>T)<br><br>where κ<sub>A</sub> is the curvature at the well minimum, κ<sup>‡</sup> at the barrier top, and U<sup>‡</sup> is the barrier height. Exponential dependence on barrier height (Arrhenius behaviour).	soft_matter ch3_viscoelasticity
What is microrheology?	A technique to measure viscoelastic properties of a material by tracking embedded tracer particles. Passive microrheology uses thermal motion only; active microrheology applies external forces (e.g. optical tweezers). Particularly useful for small sample volumes (e.g. inside cells).	soft_matter ch3_viscoelasticity
State the generalised Stokes–Einstein relation linking ⟨r²(t)⟩ to G(ω).	For a viscous fluid: ⟨r²(t)⟩ = (k<sub>B</sub>T/(πaη))t<br><br>For a viscoelastic medium, the mean-square displacement of a tracer bead can be inverted (via Laplace transform) to obtain the frequency-dependent complex modulus G*(ω) — this is the basis of passive microrheology.	soft_matter ch3_viscoelasticity
In microrheology with the Maxwell model, what is ⟨r²(t)⟩?	⟨r²(t)⟩ = k<sub>B</sub>T/(πaG₀) + (k<sub>B</sub>T/(πaη))t<br><br>The first term is an elastic plateau at short times (particle confined by network); the second is linear diffusive growth at long times (particle escapes).	soft_matter ch3_viscoelasticity
How can the shear modulus of a 3D network be estimated from its mesh size m?	G₀ ~ k<sub>B</sub>T/m³<br><br>One k<sub>B</sub>T per volume element of size m³. Each network strand contributes ~k<sub>B</sub>T to the elastic energy. Used for biopolymer gels.	soft_matter ch3_viscoelasticity
Define a polymer and a monomer.	A polymer is a long molecule formed by linking many identical or similar smaller units (monomers) via covalent bonds. The number of monomers N is the degree of polymerisation.	soft_matter ch4_polymers
Define the number-average and weight-average molecular weights.	Number average: M<sub>n</sub> = ΣN<sub>i</sub>M<sub>i</sub> / ΣN<sub>i</sub><br>Weight average: M<sub>w</sub> = ΣN<sub>i</sub>M<sub>i</sub>² / ΣN<sub>i</sub>M<sub>i</sub><br><br>The polydispersity index PDI = M<sub>w</sub>/M<sub>n</sub> ≥ 1, with equality only for a perfectly monodisperse sample.	soft_matter ch4_polymers
State the end-to-end distance scaling for an ideal (random walk) chain.	⟨R²⟩ = Nb₀²<br><br>So R = √⟨R²⟩ = b₀√N. This is the freely jointed chain result. The exponent ν = 1/2.	soft_matter ch4_polymers
What is the freely jointed chain (FJC) model?	A polymer modelled as N rigid segments of length b₀, with each segment's orientation completely uncorrelated with the others. Equivalent to a 3D random walk with step length b₀.	soft_matter ch4_polymers
Why does the freely rotating chain give ⟨R²⟩ = Nb₀²(1+cos θ)/(1−cos θ)?	The FJC overestimates flexibility because real polymer bonds have a fixed angle θ between successive segments. The correlation between consecutive segments is ⟨u<sub>i</sub>·u<sub>j</sub>⟩ = b₀²(cos θ)<sup>|i−j|</sup>, leading to a renormalised effective segment length.	soft_matter ch4_polymers
Define the Kuhn length.	The effective segment length b such that the polymer can be described as an equivalent freely jointed chain with N<sub>K</sub> Kuhn segments. For the freely rotating chain: b = b₀(1+cos θ)/(1−cos θ). For a worm-like chain with persistence length l<sub>p</sub>: b = 2l<sub>p</sub>.	soft_matter ch4_polymers
Define the persistence length l<sub>p</sub>.	The arc-length scale over which the tangent–tangent correlation along the polymer decays:<br><br>⟨t(s₁)·t(s₂)⟩ = exp(−|s₁−s₂|/l<sub>p</sub>)<br><br>It characterises the bending stiffness of a worm-like chain.	soft_matter ch4_polymers
Relate the persistence length to bending rigidity for a worm-like chain.	l<sub>p</sub> = C<sub>B</sub>/(k<sub>B</sub>T)<br><br>where C<sub>B</sub> is the bending rigidity (elastic energy per unit length per unit curvature squared). Stiffer chains and lower temperatures give larger persistence lengths.	soft_matter ch4_polymers
State the end-to-end distance for a worm-like chain in two limits.	Long chain (L ≫ l<sub>p</sub>): ⟨R²⟩ = 2l<sub>p</sub>L (random walk with effective Kuhn length 2l<sub>p</sub>)<br><br>Short chain (L ≪ l<sub>p</sub>): ⟨R²⟩ = L² (chain is essentially rigid rod, fully extended)	soft_matter ch4_polymers
Give an example of a stiff biopolymer and its persistence length.	DNA: l<sub>p</sub> ≈ 50 nm (about 150 base pairs). Other examples include actin filaments (~17 μm) and microtubules (~1 mm). For comparison, flexible synthetic polymers have l<sub>p</sub> ~ 1 nm.	soft_matter ch4_polymers
State the probability distribution of the end-to-end vector for an ideal Gaussian chain.	P(R, N) = (3/(2πNb₀²))<sup>3/2</sup> exp(−3R²/(2Nb₀²))<br><br>A 3D Gaussian centred on the origin with variance ⟨R²⟩ = Nb₀².	soft_matter ch4_polymers
What is the entropy of an ideal Gaussian chain as a function of end-to-end distance?	S(R, N) = −k<sub>B</sub>(3/2)(R²/(Nb₀²)) + S(0)<br><br>The entropy decreases quadratically as the chain is stretched.	soft_matter ch4_polymers
What is the Helmholtz free energy of an ideal Gaussian chain?	F(R, N) = (3/2) k<sub>B</sub>T (R²/(Nb₀²)) + F(0)<br><br>This acts like a Hookean spring: the chain resists stretching with an entropic restoring force, with effective spring constant k = 3k<sub>B</sub>T/(Nb₀²).	soft_matter ch4_polymers
Why is polymer elasticity called 'entropic'?	The internal energy of an ideal chain is independent of conformation. The restoring force when the chain is stretched comes purely from the loss of entropy: stretched conformations have far fewer microstates than coiled ones. F = −TS, and stretching reduces S.	soft_matter ch4_polymers
What is excluded volume in a polymer?	The fact that two monomers cannot occupy the same physical location. This effectively gives a repulsive interaction between distant monomers along the chain that happen to be close in space, leading the chain to swell relative to the ideal random walk.	soft_matter ch4_polymers
State the Flory excluded volume free energy.	F<sub>excl</sub> = (3k<sub>B</sub>T v N²)/(4πR³)<br><br>where v is the excluded volume per segment. This is the entropic cost of avoiding overlap, proportional to N²/R³ (the number of pair contacts).	soft_matter ch4_polymers
Derive Flory's R ~ N^(3/5) result for a self-avoiding chain in good solvent.	Total free energy: F = (3k<sub>B</sub>T R²)/(2Nb₀²) + (3k<sub>B</sub>T v N²)/(4πR³).<br>Minimise dF/dR = 0:<br>R/(Nb₀²) = (9vN²)/(4πR⁴)<br>R⁵ ∝ vb₀²N³<br><br>R ~ N^(3/5)	soft_matter ch4_polymers
State the radius scaling exponents for the three solvent regimes.	Good solvent (χ < 1/2): R ~ N^(3/5) (Flory exponent, swollen)<br>Theta solvent (χ = 1/2): R ~ N^(1/2) (ideal chain)<br>Poor solvent (χ > 1/2): R ~ N^(1/3) (collapsed globule, R³ ~ N)	soft_matter ch4_polymers
Define the Flory interaction parameter χ.	χ = (z/k<sub>B</sub>T)[ε<sub>ps</sub> − ½(ε<sub>pp</sub> + ε<sub>ss</sub>)]<br><br>where z is the lattice coordination number and ε<sub>ij</sub> are pair interaction energies. χ < 1/2 → good solvent; χ = 1/2 → theta; χ > 1/2 → poor solvent.	soft_matter ch4_polymers
How is the excluded volume parameter v(T) related to χ?	v(T) = b₀³(1 − 2χ)<br><br>v > 0 for χ < 1/2 (good solvent: monomers repel), v = 0 at the theta point, v < 0 for χ > 1/2 (poor solvent: monomers attract).	soft_matter ch4_polymers
What is the theta temperature?	The temperature at which the excluded volume parameter v(T) = 0, i.e. χ = 1/2. The chain behaves as an ideal random walk because attractive and repulsive contributions to the segment-segment interaction exactly cancel.	soft_matter ch4_polymers
Describe the coil-globule transition.	At T > θ (good solvent), the polymer is a swollen coil with R ~ N^(3/5).<br>At T = θ, R ~ N^(1/2) (ideal).<br>At T < θ (poor solvent), the chain collapses into a compact globule with R ~ N^(1/3) due to attractive interactions dominating excluded volume repulsion.	soft_matter ch4_polymers
State the Flory–Huggins free energy of mixing for a polymer solution.	ΔF/(M k<sub>B</sub>T) = (Φ/N)ln Φ + (1−Φ)ln(1−Φ) + χΦ(1−Φ)<br><br>where M is the total number of lattice sites, Φ is the polymer volume fraction, N is the polymerisation number. The first two terms are translational entropy of polymer and solvent; the third is the enthalpy of mixing.	soft_matter ch4_polymers
Why does the entropy of mixing for polymer solutions favour the solvent over the polymer?	Because the polymer entropy term is (Φ/N)ln Φ — the factor of 1/N reflects that N monomers must move together as a single chain. For long polymers (N large), this term is small. The solvent term (1−Φ)ln(1−Φ) dominates the entropic gain on mixing.	soft_matter ch4_polymers
State the osmotic pressure of a polymer solution from Flory–Huggins.	Π = (k<sub>B</sub>T/b₀³)[Φ/N + (1−2χ)Φ²/2 + ...]<br><br>The first term is the ideal van't Hoff law (small for large N); the second term is the virial correction with B₂ = (1−2χ)/2.	soft_matter ch4_polymers
What is the second virial coefficient B₂ for a polymer solution?	B₂ = (1 − 2χ)/2<br><br>Positive in good solvent (repulsive interactions), zero at the theta point, negative in poor solvent (attractive). It controls the thermodynamic stability of the solution.	soft_matter ch4_polymers
Why do chains in a polymer melt behave ideally?	In a melt, each chain is surrounded by chains of identical chemistry. The excluded-volume repulsion that swells a chain in dilute solution is exactly counterbalanced by interactions with surrounding chains. Equivalently, χ = 0 and v = b₀³/N₂ → 0 for long surrounding chains. Result: R ~ N^(1/2) like an ideal chain.	soft_matter ch4_polymers
Define the overlap concentration Φ*.	The polymer volume fraction at which the average concentration equals the concentration within an isolated coil. In good solvent:<br><br>Φ* ~ Nb₀³/R³ ~ N^(1−9/5) = N^(−4/5)<br><br>For larger N, the overlap concentration is lower.	soft_matter ch4_polymers
What are the dilute, semi-dilute, and concentrated regimes?	Dilute (Φ < Φ*): Coils isolated, no overlap.<br>Semi-dilute (Φ* < Φ ≪ 1): Coils overlap but solution mostly solvent. Chains form an entangled network.<br>Concentrated (Φ → 1): Dense polymer melt, strong overlap and screening.	soft_matter ch4_polymers
State the Flory–Huggins spinodal equation.	χ<sub>spinodal</sub>(Φ) = ½[1/(NΦ) + 1/(1−Φ)]<br><br>Obtained from ∂²f/∂Φ² = 0. The two-phase region lies above (or below in T-Φ) this curve; the homogeneous solution is unstable there.	soft_matter ch4_polymers
Where is the critical point of a polymer solution?	Φ<sub>c</sub> = 1/(√N + 1) ≈ 1/√N (for large N)<br><br>χ<sub>c</sub> = ½(1 + 1/√N)² ≈ 1/2 + 1/√N<br><br>Note that χ<sub>c</sub> approaches 1/2 from above as N → ∞, and Φ<sub>c</sub> → 0 — the critical composition becomes very polymer-poor for long chains.	soft_matter ch4_polymers
Define the grafting density of polymers on a surface.	σ = 1/D²<br><br>where D is the average distance between grafting points. For D > R (chain size): mushroom regime. For D < R: brush regime where chains stretch.	soft_matter ch4_polymers
Derive the brush height in a polymer brush (good solvent).	Free energy per chain (chain in cylinder of radius D and height h):<br>F = (3k<sub>B</sub>T h²)/(2Nb₀²) + (k<sub>B</sub>T b₀³ N² σ)/h<br><br>Minimising dF/dh = 0:<br>h ~ b₀(b₀³σ)<sup>1/3</sup> N<br><br>Brush height is linear in N (unlike coiled chains).	soft_matter ch4_polymers
State the shear modulus for a rubber (affine network model).	G = (n/V) k<sub>B</sub>T<br><br>where n/V is the number density of network strands (cross-link junctions). Note that rubber stiffens with increasing T — opposite to most materials — because the elasticity is entropic in origin.	soft_matter ch4_polymers
Why does rubber elasticity increase with temperature?	Because rubber elasticity is entropic, not enthalpic. The restoring force comes from the loss of conformational entropy on stretching. At higher T, the entropic free energy contribution −TS is more important, so the restoring force is larger.	soft_matter ch4_polymers
State the Rouse equation for polymer dynamics.	γ(dr<sub>n</sub>/dt) = κ(r<sub>n+1</sub> + r<sub>n−1</sub> − 2r<sub>n</sub>) + ξ<sub>n</sub>(t)<br><br>Each bead has friction γ and is connected by harmonic springs of constant κ = 3k<sub>B</sub>T/b₀². Random forces ξ describe collisions with the solvent. Hydrodynamic interactions are neglected.	soft_matter ch4_polymers
State the Rouse time τ<sub>R</sub>.	τ<sub>R</sub> = γN²b₀²/(6π²k<sub>B</sub>T)<br><br>The longest relaxation time of the chain (time for the slowest internal mode, p=1, to relax). Scales as N², which is the time for the chain to diffuse over its own size.	soft_matter ch4_polymers
State the Rouse centre-of-mass diffusion coefficient.	D<sub>CM</sub> = k<sub>B</sub>T/(Nγ)<br><br>The whole chain has total friction Nγ and diffuses as a single object. Note D<sub>CM</sub> ∝ 1/N — slower for longer chains.	soft_matter ch4_polymers
What is the key difference between the Rouse and Zimm models?	Rouse model: hydrodynamic interactions neglected ('free-draining'). Each bead has independent friction. D ∝ 1/N.<br><br>Zimm model: HI included via the Oseen tensor. Solvent inside the coil is dragged with the chain. Effective friction is that of a sphere of radius R. D ∝ 1/(ηR) ∝ 1/N^ν.	soft_matter ch4_polymers
